seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected
2,False,0.4969853465543859,0.3833710597626638,-0.2544219305804351,1.248392623689207,dgp2,dml_nn,Quadratic,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
3,False,0.587143085857676,0.3905568366247951,-0.1783483139269224,1.3526344856422745,dgp2,dml_nn,Quadratic,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
4,False,0.7631567870040632,0.3516273986499826,0.07396708565009735,1.452346488358029,dgp2,dml_nn,Quadratic,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
5,False,0.31568880155299406,0.39604377654911593,-0.4605570004832732,1.0919346035892614,dgp2,dml_nn,Quadratic,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
6,False,0.3853044140579163,0.34188466660700284,-0.2847895324918092,1.0553983606076418,dgp2,dml_nn,Quadratic,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
7,False,0.6463578960301806,0.4262802046297844,-0.18915130504419686,1.481867097104558,dgp2,dml_nn,Quadratic,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
8,False,-0.3984395603486114,0.3464623076809934,-1.0775056834033583,0.2806265627061356,dgp2,dml_nn,Quadratic,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
9,False,0.39263416029435355,0.40282432338048885,-0.3969015135314046,1.1821698341201117,dgp2,dml_nn,Quadratic,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
0,False,0.4845425201839316,0.04976800994671117,0.3869972206883777,0.5820878196794855,dgp2,epds,Quadratic,EPDS,0.5,epds,"[('sq', 0, None), ('sq', 2, None)]",[],"[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.03483117252021, ('sq', 2, None): 2.9955106181879296}",{},nan
1,False,0.4895296185744744,0.045754393638093756,0.39985100704381066,0.5792082301051382,dgp2,epds,Quadratic,EPDS,0.5,epds,"[('sq', 0, None), ('sq', 2, None)]",[],"[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 4.993076551928379, ('sq', 2, None): 3.039644913846943}",{},nan
2,False,0.2995080658103344,0.18263613813689888,-0.058458764937987406,0.6574748965586562,dgp2,epds,Quadratic,EPDS,0.5,epds,"[('sq', 0, None)]",[],"[('sq', 0, None)]",[],"{('sq', 0, None): 5.128418161469509}",{},nan
3,False,0.3421810454918615,0.1661268125463906,0.01657249290093593,0.667789598082787,dgp2,epds,Quadratic,EPDS,0.5,epds,"[('sq', 0, None)]","[('int', 13, 49), ('int', 42, 44)]","[('sq', 0, None)]",[],"{('sq', 0, None): 4.836722404602591}",{},nan
4,False,0.5488619374297794,0.04534014302455248,0.45999525710165656,0.6377286177579022,dgp2,epds,Quadratic,EPDS,0.5,epds,"[('sq', 0, None), ('sq', 2, None)]","[('int', 5, 8), ('int', 12, 18)]","[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.027033001330868, ('sq', 2, None): 2.996292898471559}",{},nan
5,False,0.4177259454229848,0.17131572811729778,0.08194711831308116,0.7535047725328885,dgp2,epds,Quadratic,EPDS,0.5,epds,"[('sq', 0, None)]","[('cubic', 32, 20), ('cubic', 32, 26), ('cubic', 32, 34)]","[('cubic', 32, 34), ('sq', 0, None)]","[('cubic', 32, 34)]","{('sq', 0, None): 4.980522370274068}","{('cubic', 32, 34): -0.07093683113517527}",nan
